"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G82348RD","Composition","3173.14208644","3929.98719022","G22788YM","G82348RD","","17","False"
"G82349CV","Saccharide","748.27495691","944.49405789","G65171UV","G13934DF","G33689CX","4","False"
"G82350LU","Saccharide","545.195584305","699.367735075","G52963ZW","G03102IC","G75621XF","3","False"
"G82350PP","Saccharide","1298.4048437","1634.78044538","","","","7","False"
"G82352ZS","Saccharide","504.1690352","658.34118597","G39365VM","G72116MB","G62082AD","3","False"
"G82354BQ","Topology","748.27495691","944.49405789","G65171UV","G51934ND","G82354BQ","4","False"
"G82356VZ","Saccharide","2338.86673557","2885.4770883","G61613II","G06741XC","G45771VM","13","False"
"G82357WL","Saccharide","1948.70290499","2425.23500737","G09197ZW","G85292ZL","G30412ER","11","False"
"G82362HL","Saccharide","1770.65516686","2191.12466896","G50073PQ","G12863RW","G55975YC","10","False"
"G82362QD","Topology","1186.44868352","1466.76168492","G67531TM","","G82362QD","7","False"
"G82363EY","Saccharide","974.28968037","1184.52443142","G67631MS","G34953RY","G05096XM","5","False"
"G82364UA","BaseComposition","1218.43851278","1526.78281432","G82364UA","","","7","False"
"G82368PU","Saccharide","2222.78300589","2769.39335862","G49174JP","G73366EA","G97599MN","11","False"
"G82381FE","Saccharide","2077.74549812","2582.30890064","G70382FA","G40436IV","G32340DX","11","False"
"G82385GE","Saccharide","649.206542965","845.425643945","G30664IS","G64818UY","G25889HA","3","False"
"G82385HC","BaseComposition","935.359414885","1159.609816","G82385HC","","","5","False"
"G82388AD","Topology","836.29100094","1060.54140206","G63053UD","G62828VD","G82388AD","4","False"
"G82388RB","Saccharide","2239.79832162","2786.40867436","G92357TM","G39456KE","G35622MN","12","False"
"G82390HZ","Saccharide","1989.7294541","2466.26155647","G85740DB","G64730RH","","11","False"
"G82393PY","Saccharide","2879.01061863","3579.79312213","G98715EM","G58318SA","G26085RC","14","False"
"G82395RT","Saccharide","748.27495691","944.49405789","G65171UV","G83574AW","G72872SQ","4","False"
"G82399FC","Topology","2312.81469999","2887.45635286","G77131CL","G67443AS","G82399FC","12","False"
"G82400TF","Saccharide","424.16930991","536.29451047","G27391WQ","G54064OC","G19234OH","2","False"
"G82403CZ","Saccharide","1720.59189791","2169.09270015","G62765YT","G21194PE","G92665NH","10","False"
"G82405LP","Saccharide","1259.46506188","1567.80936342","G80475RE","G09140IH","G40932HD","7","False"
